STORE NAME,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,,,,,,
ALDI INC #10,ARCHER HEIGHTS,57,14,,,,,,
ONE STOP,WEST GARFIELD PARK,26,28,,,,,,
EL BARRIO GROCERY,HUMBOLDT PARK,23,30,,,,,,
AARAY GROCERY,LINCOLN PARK,7,43,,,,,,
BROADWAY SUPERMARKET,UPTOWN,3,48,,,,,,
FOODSMART,LOGAN SQUARE,22,35,,,,,,
SAFAH FOOD & LIQUOR INC,ENGLEWOOD,68,17,,,,,,
MORGAN FOOD CORP LLC,ENGLEWOOD,68,17,,,,,,
THE PRODUCE CENTER,NORWOOD PARK,10,45,,,,,,
DOMINICKS #2889,LINCOLN SQUARE,4,40,,,,,,
WALGREENS #226,SOUTH LAWNDALE,30,22,,,,,,
ALDI INC.#94,CHICAGO LAWN,66,16,,,,,,
JOE'S FOOD AND LIQUOR DEPOT,BELMONT CRAGIN,19,30,,,,,,
TREASURE ISLAND FOODS,LINCOLN PARK,7,43,,,,,,
JEWEL FOOD STORE #3296,NORWOOD PARK,10,41,,,,,,
THREE R FOOD,ALBANY PARK,14,33,,,,,,
CERMAK PRODUCE,LOWER WEST SIDE,31,25,,,,,,
PUERTO RICO FOOD & LIQUORS,WEST TOWN,24,26,,,,,,
CARNICERIA LA AZTECA,ROGERS PARK,1,49,,,,,,
WHOLE FOODS MARKET,LAKE VIEW,6,44,,,,,,
HONG KONG MARKET,ARMOUR SQUARE,34,25,,,,,,
WALGREENS #2923,GREATER GRAND CROSSING,69,20,,,,,,
JEWEL FOOD STORE #3030,SOUTH SHORE,43,5,,,,,,
CERMAK PRODUCE NO.4,WEST TOWN,24,26,,,,,,
RAINBOW FINER FOOD & LIQUOR,WEST ENGLEWOOD,67,16,,,,,,
MUNCHIES ON LARRABEE,NEAR NORTH SIDE,8,27,,,,,,
ALDI INC STORE #95,SOUTH DEERING,51,7,,,,,,
MI MEXICO GROCERY,CHICAGO LAWN,66,16,,,,,,
ALDI FOODS STORE #30,LOGAN SQUARE,22,31,,,,,,
KEY FOOD LIQUOR,RIVERDALE,54,9,,,,,,
